"Uddannelsessted","url","Valgt","Nummer","Uni","Region","Startdato","Afdeling","Speciale","Uddannelsessted2","Afdeling2","Speciale2","id","Runde","Rundestart","lon","lat"
"Amager Hospital","https://www.basislaege.dk/Ajax_get2012v1.asp","10. okt 12:54",27,"KU","Hovedst.",2012-03-01,"Medicinsk afdeling","Intern medicin","Amagercentrets Læger","Almen praksis","Almen medicin",NA,"Forår 12",2012-02-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2015v1.asp","6. okt 13:20",9,"KU","Hovedst.",2015-02-01,"Medicinsk afdeling","Intern medicin","Lægerne Store Kongensgade","Almen praksis","Almen medicin",NA,"Forår 15",2015-02-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2017v1.asp","19. okt 08:53",132,"KU","Hovedst.",2017-03-01,"Medicinsk afdeling","Intern medicin","Jacoba Egholm Hansen","Almen praksis","Almen medicin",NA,"Forår 17",2017-02-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2015v2.asp","13. apr 13:10",8,"KU","Hovedst.",2015-08-01,"Medicinsk afdeling","Intern medicin","Hvidovre Hospital","Gastroenheden - kirurgisk sektion","Kirurgi",NA,"Efterår 15",2015-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2017v1.asp","19. okt 12:12",148,"KU","Hovedst.",2017-02-01,"Medicinsk afdeling","Intern medicin","Kristine Engell-Kofoed","Almen praksis","Almen medicin",NA,"Forår 17",2017-02-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2015v1.asp","6. okt 19:34",45,"KU","Hovedst.",2015-05-01,"Medicinsk afdeling","Intern medicin","Kristine Engell-Kofoed","Almen praksis","Almen medicin",NA,"Forår 15",2015-02-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2015v1.asp","6. okt 09:00",0,"KU","Hovedst.",2015-04-01,"Medicinsk afdeling","Intern medicin","Citydoctors","Almen praksis","Almen medicin",NA,"Forår 15",2015-02-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2015v2.asp","13. apr 15:00",18,"AU","Hovedst.",2015-10-01,"Medicinsk afdeling","Intern medicin","Susanne Lund & Morten Jensen","Almen praksis","Almen medicin",NA,"Efterår 15",2015-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2011v2.asp","11. apr 14:50",42,"KU","Hovedst.",2011-10-01,"Medicinsk afdeling","Intern medicin","Anders Olsen","Almen praksis","Almen medicin",NA,"Efterår 11",2011-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2016v2.asp","11. apr 14:48",15,"KU","Hovedst.",2016-09-01,"Medicinsk afdeling","Intern medicin","Øbro lægehus","Almen praksis","Almen medicin",NA,"Efterår 16",2016-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2015v2.asp","14. apr 08:21",54,"KU","Hovedst.",2015-09-01,"Medicinsk afdeling","Intern medicin","Lægerne Under Elmene ved Kit Christensen og Cecilie Thorning Jacobsen","Almen praksis","Almen medicin",NA,"Efterår 15",2015-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2014v1.asp","7. okt 15:40",21,"KU","Hovedst.",2014-02-01,"Medicinsk afdeling","Intern medicin","Lisbeth Bonde","Almen praksis","Almen medicin",NA,"Forår 14",2014-02-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2011v1.asp","11. okt 12:40",28,"KU","Hovedst.",2011-03-01,"Medicinsk afdeling","Intern medicin","Susanne Lund & Morten Jensen","Almen praksis","Almen medicin",NA,"Forår 11",2011-02-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2016v1.asp","5. okt 14:50",16,"KU","Hovedst.",2016-03-01,"Medicinsk afdeling","Intern medicin","Lægeklinikken PLC ved Marianne Nexmann","Almen praksis","Almen medicin",NA,"Forår 16",2016-02-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2015v1.asp","6. okt 15:01",18,"KU","Hovedst.",2015-03-01,"Medicinsk afdeling","Intern medicin","Hvidovre Hospital","Ortopædkirurgisk afdeling","Ortopædisk kirurgi",NA,"Forår 15",2015-02-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2016v1.asp","5. okt 18:51",38,"KU","Hovedst.",2016-03-01,"Medicinsk afdeling","Intern medicin","Thomas Rasmussen","Almen praksis","Almen medicin",NA,"Forår 16",2016-02-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2013v1.asp","8. okt 10:41",16,"KU","Hovedst.",2013-02-01,"Medicinsk afdeling","Intern medicin","Jan Andersson","Almen praksis","Almen medicin",NA,"Forår 13",2013-02-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2014v1.asp","7. okt 14:30",14,"KU","Hovedst.",2014-04-01,"Medicinsk afdeling","Intern medicin","Lægerne Vesterbrogade 73 B","Almen praksis","Almen medicin",NA,"Forår 14",2014-02-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2013v2.asp","2. apr 19:20",41,"KU","Hovedst.",2013-08-01,"Medicinsk afdeling","Intern medicin","Citydoctors","Almen praksis","Almen medicin",NA,"Efterår 13",2013-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2016v2.asp","11. apr 19:20",44,"KU","Hovedst.",2016-10-01,"Medicinsk afdeling","Intern medicin","Psykiatrisk Center Amager","Psykiatrisk afdeling","Psykiatri",NA,"Efterår 16",2016-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2016v1.asp","5. okt 13:30",8,"KU","Hovedst.",2016-05-01,"Medicinsk afdeling","Intern medicin","Lægerne i Sundhedshuset Vesterbro","Almen praksis","Almen medicin",NA,"Forår 16",2016-02-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2011v2.asp","11. apr 12:00",24,"KU","Hovedst.",2011-08-01,"Medicinsk afdeling","Intern medicin","Jan Andersson","Almen praksis","Almen medicin",NA,"Efterår 11",2011-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2011v2.asp","12. apr 16:57",128,"AU","Hovedst.",2011-10-01,"Medicinsk afdeling","Intern medicin","Psykiatrisk Center Amager","Psykiatrisk afdeling","Psykiatri",NA,"Efterår 11",2011-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2012v1.asp","10. okt 08:24",3,"KU","Hovedst.",2012-02-01,"Medicinsk afdeling","Intern medicin","Ida Schønfeldt","Almen praksis","Almen medicin",NA,"Forår 12",2012-02-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2013v1.asp","9. okt 20:11",149,"SDU","Hovedst.",2013-04-01,"Medicinsk afdeling","Intern medicin","Psykiatrisk Center Amager","Psykiatrisk afdeling","Psykiatri",NA,"Forår 13",2013-02-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2016v1.asp","8. okt 12:12",226,"KU","Hovedst.",2016-04-01,"Medicinsk afdeling","Intern medicin","Psykiatrisk Center Amager","Psykiatrisk afdeling","Psykiatri",NA,"Forår 16",2016-02-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2016v2.asp","11. apr 09:01",0,"KU","Hovedst.",2016-11-01,"Medicinsk afdeling","Intern medicin","Lægerne ved Kongens Have","Almen praksis","Almen medicin",NA,"Efterår 16",2016-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2017v1.asp","20. okt 20:10",270,"KU","Hovedst.",2017-04-01,"Medicinsk afdeling","Intern medicin","Psykiatrisk Center Amager","Psykiatrisk afdeling","Psykiatri",NA,"Forår 17",2017-02-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2014v1.asp","7. okt 13:19",7,"KU","Hovedst.",2014-04-01,"Medicinsk afdeling","Intern medicin","Riise, Jessen & Nielsen","Almen praksis","Almen medicin",NA,"Forår 14",2014-02-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2016v2.asp","12. apr 14:06",90,"SDU","Hovedst.",2016-09-01,"Medicinsk afdeling","Intern medicin","Thomas Rasmussen","Almen praksis","Almen medicin",NA,"Efterår 16",2016-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2017v1.asp","17. okt 19:52",46,"AU","Hovedst.",2017-04-01,"Medicinsk afdeling","Intern medicin","Lægerne Nøjsomhedsvej ved Tania Ingholt Alminde","Almen praksis","Almen medicin",NA,"Forår 17",2017-02-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2015v1.asp","6. okt 12:34",4,"KU","Hovedst.",2015-05-01,"Medicinsk afdeling","Intern medicin","Grubbe & Rønn Simonsen","Almen praksis","Almen medicin",NA,"Forår 15",2015-02-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2014v2.asp","8. apr 12:31",108,"KU","Hovedst.",2014-10-01,"Medicinsk afdeling","Intern medicin","Psykiatrisk Center Amager","Psykiatrisk afdeling","Psykiatri",NA,"Efterår 14",2014-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2015v2.asp","13. apr 12:30",4,"KU","Hovedst.",2015-10-01,"Medicinsk afdeling","Intern medicin","Psykiatrisk Center Amager","Psykiatrisk afdeling","Psykiatri",NA,"Efterår 15",2015-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2012v1.asp","10. okt 08:09",1,"KU","Hovedst.",2012-02-01,"Medicinsk afdeling","Intern medicin","Citydoctors","Almen praksis","Almen medicin",NA,"Forår 12",2012-02-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2016v2.asp","11. apr 20:00",47,"KU","Hovedst.",2016-11-01,"Medicinsk afdeling","Intern medicin","Birger Troels Andersen","Almen praksis","Almen medicin",NA,"Efterår 16",2016-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2013v2.asp","2. apr 13:30",10,"KU","Hovedst.",2013-11-01,"Medicinsk afdeling","Intern medicin","Vesterbro Lægehus","Almen praksis","Almen medicin",NA,"Efterår 13",2013-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2012v2.asp","10. apr 16:30",30,"KU","Hovedst.",2012-09-01,"Medicinsk afdeling","Intern medicin","Jacoba Egholm Hansen","Almen praksis","Almen medicin",NA,"Efterår 12",2012-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2013v2.asp","2. apr 14:20",16,"KU","Hovedst.",2013-10-01,"Medicinsk afdeling","Intern medicin","Psykiatrisk Center Amager","Psykiatrisk afdeling","Psykiatri",NA,"Efterår 13",2013-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2010v2.asp","12. apr 08:20",3,"KU","Hovedst.",2010-09-01,"Medicinsk afdeling","Intern medicin","Allin-Feddersen, Jeppesen & Mazanti","Almen praksis","Almen medicin",NA,"Efterår 10",2010-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2012v2.asp","10. apr 13:34",12,"KU","Hovedst.",2012-08-01,"Medicinsk afdeling","Intern medicin","Charlotte Kjersgaard","Almen praksis","Almen medicin",NA,"Efterår 12",2012-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2014v2.asp","7. apr 12:20",32,"KU","Hovedst.",2014-11-01,"Medicinsk afdeling","Intern medicin","Kristine Engell-Kofoed","Almen praksis","Almen medicin",NA,"Efterår 14",2014-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2016v1.asp","5. okt 13:52",10,"AU","Hovedst.",2016-05-01,"Medicinsk afdeling","Intern medicin","Torben Mahneke","Almen praksis","Almen medicin",NA,"Forår 16",2016-02-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2012v1.asp","10. okt 17:50",55,"AU","Hovedst.",2012-04-01,"Medicinsk afdeling","Intern medicin","Psykiatrisk Center Amager","Psykiatrisk afdeling","Psykiatri",NA,"Forår 12",2012-02-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2016v2.asp","12. apr 20:20",127,"KU","Hovedst.",2016-10-01,"Medicinsk afdeling","Intern medicin","Psykiatrisk Center Amager","Psykiatrisk afdeling","Psykiatri",NA,"Efterår 16",2016-08-01,12.620377,55.654913
"Amager Hospital","https://www.basislaege.dk/Ajax_get2014v1.asp","7. okt 18:28",38,"KU","Hovedst.",2014-03-01,"Medicinsk afdeling","Intern medicin","Charlotte Kjersgaard","Almen praksis","Almen medicin",NA,"Forår 14",2014-02-01,12.620377,55.654913
